weekly_n,T_weeks,rho,sigma_txn,sigma_week,nonzero_weeks,pct_coverage,feasible,mde_pct,verdict
2,208,0.5,0.3,0.01,179.850261086785,0.864664716763388,TRUE,6.56623527089428,marginal
2,208,0.5,0.3,0.03,179.850261086785,0.864664716763388,TRUE,6.62609644525147,marginal
2,208,0.5,0.5,0.01,179.850261086785,0.864664716763388,TRUE,11.1731810213769,underpowered
2,208,0.5,0.5,0.03,179.850261086785,0.864664716763388,TRUE,11.2107783778229,underpowered
2,208,0.7,0.15,0.01,179.850261086785,0.864664716763388,TRUE,4.4346272017384,adequate
2,208,0.7,0.15,0.03,179.850261086785,0.864664716763388,TRUE,4.5917277945601,adequate
2,208,0.7,0.3,0.01,179.850261086785,0.864664716763388,TRUE,9.03459428398103,marginal
2,208,0.7,0.3,0.03,179.850261086785,0.864664716763388,TRUE,9.11790320640227,marginal
2,208,0.7,0.5,0.01,179.850261086785,0.864664716763388,TRUE,15.4948844785975,underpowered
2,208,0.7,0.5,0.03,179.850261086785,0.864664716763388,TRUE,15.5480101154538,underpowered
2,260,0,0.15,0.01,224.812826358481,0.864664716763387,TRUE,1.32251285272136,well_powered
2,260,0,0.15,0.03,224.812826358481,0.864664716763387,TRUE,1.36863979413409,well_powered
2,260,0,0.3,0.01,224.812826358481,0.864664716763387,TRUE,2.65358878064121,adequate
2,260,0,0.3,0.03,224.812826358481,0.864664716763387,TRUE,2.67733140467727,adequate
2,260,0,0.5,0.01,224.812826358481,0.864664716763387,TRUE,4.45841687552895,adequate
2,260,0,0.5,0.03,224.812826358481,0.864664716763387,TRUE,4.47296336603447,adequate
2,260,0.3,0.15,0.01,224.812826358481,0.864664716763387,TRUE,1.79968728549689,well_powered
2,260,0.3,0.15,0.03,224.812826358481,0.864664716763387,TRUE,1.8626096109398,well_powered
2,260,0.3,0.3,0.01,224.812826358481,0.864664716763387,TRUE,3.61952927261702,adequate
2,260,0.3,0.3,0.03,224.812826358481,0.864664716763387,TRUE,3.65206709021948,adequate
2,260,0.3,0.5,0.01,224.812826358481,0.864664716763387,TRUE,6.10057999472848,marginal
2,260,0.3,0.5,0.03,224.812826358481,0.864664716763387,TRUE,6.12063938033842,marginal
2,260,0.5,0.15,0.01,224.812826358481,0.864664716763387,TRUE,2.28386523680635,adequate
2,260,0.5,0.15,0.03,224.812826358481,0.864664716763387,TRUE,2.36391144445576,adequate
2,260,0.5,0.3,0.01,224.812826358481,0.864664716763387,TRUE,4.60425493328753,adequate
2,260,0.5,0.3,0.03,224.812826358481,0.864664716763387,TRUE,4.64584158013313,adequate
2,260,0.5,0.5,0.01,224.812826358481,0.864664716763387,TRUE,7.78519812015661,marginal
2,260,0.5,0.5,0.03,224.812826358481,0.864664716763387,TRUE,7.81099751536747,marginal
2,260,0.7,0.15,0.01,224.812826358481,0.864664716763387,TRUE,3.12569156858813,adequate
2,260,0.7,0.15,0.03,224.812826358481,0.864664716763387,TRUE,3.23570609498274,adequate
2,260,0.7,0.3,0.01,224.812826358481,0.864664716763387,TRUE,6.32741956075114,marginal
2,260,0.7,0.3,0.03,224.812826358481,0.864664716763387,TRUE,6.38503899917546,marginal
2,260,0.7,0.5,0.01,224.812826358481,0.864664716763387,TRUE,10.7585520536555,underpowered
2,260,0.7,0.5,0.03,224.812826358481,0.864664716763387,TRUE,10.7946875809806,underpowered
5,104,0,0.15,0.01,103.299253512095,0.993262053000915,TRUE,3.83332735966824,adequate
5,104,0,0.15,0.03,103.299253512095,0.993262053000915,TRUE,4.15987387244487,adequate
5,104,0,0.3,0.01,103.299253512095,0.993262053000915,TRUE,7.7472234334689,marginal
5,104,0,0.3,0.03,103.299253512095,0.993262053000915,TRUE,7.92312222458798,marginal
5,104,0,0.5,0.01,103.299253512095,0.993262053000915,TRUE,13.2177640675214,underpowered
5,104,0,0.5,0.03,103.299253512095,0.993262053000915,TRUE,13.3295918407379,underpowered
5,104,0.3,0.15,0.01,103.299253512095,0.993262053000915,TRUE,5.20789337181389,marginal
5,104,0.3,0.15,0.03,103.299253512095,0.993262053000915,TRUE,5.65468445222355,marginal
5,104,0.3,0.3,0.01,103.299253512095,0.993262053000915,TRUE,10.595049743111,underpowered
5,104,0.3,0.3,0.03,103.299253512095,0.993262053000915,TRUE,10.8387891193831,underpowered
5,104,0.3,0.5,0.01,103.299253512095,0.993262053000915,TRUE,18.2398386545421,underpowered
5,104,0.3,0.5,0.03,103.299253512095,0.993262053000915,TRUE,18.3974847648726,underpowered
5,104,0.5,0.15,0.01,103.299253512095,0.993262053000915,TRUE,6.59682326040691,marginal
5,104,0.5,0.15,0.03,103.299253512095,0.993262053000915,TRUE,7.16677218245108,marginal
5,104,0.5,0.3,0.01,103.299253512095,0.993262053000915,TRUE,13.5100495992804,underpowered
5,104,0.5,0.3,0.03,103.299253512095,0.993262053000915,TRUE,13.8249298741921,underpowered
5,104,0.5,0.5,0.01,103.299253512095,0.993262053000915,TRUE,23.4700285063648,underpowered
5,104,0.5,0.5,0.03,103.299253512095,0.993262053000915,TRUE,23.6772111304449,underpowered
5,104,0.7,0.15,0.01,103.299253512095,0.993262053000915,TRUE,8.97215833732754,marginal
5,104,0.7,0.15,0.03,103.299253512095,0.993262053000915,TRUE,9.75653346130754,marginal
5,104,0.7,0.3,0.01,103.299253512095,0.993262053000915,TRUE,18.5823900610758,underpowered
5,104,0.7,0.3,0.03,103.299253512095,0.993262053000915,TRUE,19.0250351728873,underpowered
5,104,0.7,0.5,0.01,103.299253512095,0.993262053000915,TRUE,32.7849023373687,underpowered
5,104,0.7,0.5,0.03,103.299253512095,0.993262053000915,TRUE,33.0846686428448,underpowered
5,156,0,0.15,0.01,154.948880268143,0.993262053000915,TRUE,1.89274988733936,well_powered
5,156,0,0.15,0.03,154.948880268143,0.993262053000915,TRUE,2.05235351906354,adequate
5,156,0,0.3,0.01,154.948880268143,0.993262053000915,TRUE,3.78945937132427,adequate
5,156,0,0.3,0.03,154.948880268143,0.993262053000915,TRUE,3.8738833160245,adequate
5,156,0,0.5,0.01,154.948880268143,0.993262053000915,TRUE,6.38354147033693,marginal
5,156,0,0.5,0.03,154.948880268143,0.993262053000915,TRUE,6.43590577296891,marginal
5,156,0.3,0.15,0.01,154.948880268143,0.993262053000915,TRUE,2.57158898693781,adequate
5,156,0.3,0.15,0.03,154.948880268143,0.993262053000915,TRUE,2.78921363909781,adequate
