occasion,archetype,weighted_meals,unweighted_meals,participants,top_groups,top_categories,occasion_weight,weighted_share,stratum
dinner,tortilla dinner,4000257.0875399997,84,84,"tortilla, tortilla, water, vegetables, condiment_fat, tortilla, vegetables, tortilla, salty_snack, condiment_fat","Rice mixed dishes, Other Mexican mixed dishes, Tomatoes, White potatoes, baked or boiled, Cabbage, Strawberries, Tortillas, Other Mexican mixed dishes, Chicken, whole pieces, Burritos and tacos, Onions, Dips, gravies, other sauces, Tortilla, corn, other chips, Soft drinks, Burritos and tacos, Beans, peas, legumes, Tomato-based condiments",75192067.568995,0.05320051990682967,pir_5plus
lunch,sandwich lunch,18766943.77216,359,359,"sandwich, sandwich, condiment_fat, vegetables, sandwich, condiment_fat, sandwich","Peanut butter and jelly sandwiches, Deli and cured meat sandwiches, Cheese sandwiches, Deli and cured meat sandwiches, Mayonnaise",64105600.120116,0.29275045763546376,pir_5plus
lunch,other lunch,17218959.335537,356,341,"sweet_drink, grain_starch, sweet_baked, fruit","Pasta mixed dishes, excludes macaroni and cheese, Smoothies and grain drinks, Nutritional beverages, Apples, Nuts and seeds",64105600.120116,0.2686030440908981,pir_5plus
lunch,mixed entree lunch,7730107.403887,139,139,"mixed_main, grain_starch, mixed_main, mixed_main, condiment_fat, sweet_drink, mixed_main","Meat mixed dishes, Poultry mixed dishes, Rice, Poultry mixed dishes, Tap water, Fried rice and lo/chow mein",64105600.120116,0.12058396441813096,pir_5plus
lunch,salad lunch,6065682.016983,131,131,"meat_poultry, condiment_fat, vegetables, water, cheese, salty_snack, condiment_fat, salty_snack, sweet_drink, vegetables, condiment_fat, condiment_fat, grain_starch, seafood, soup","Crackers, excludes saltines, Other vegetables and combinations, Chicken, whole pieces, Tap water, Lettuce and lettuce salads, Lettuce and lettuce salads, Dips, gravies, other sauces, Smoothies and grain drinks, Crackers, excludes saltines, Tomatoes, Other vegetables and combinations, Onions, Lettuce and lettuce salads, Candy containing chocolate, Salad dressings and vegetable oils, Shellfish, Dips, gravies, other sauces, Cabbage, Lettuce and lettuce salads",64105600.120116,0.09462015807694811,pir_5plus
lunch,plate lunch,5577250.008111,104,103,"meat_poultry, vegetables, meat_poultry, sweet_drink, grain_starch, meat_poultry, vegetables, sweet_drink, vegetables, meat_poultry","Rice mixed dishes, Tea, Chicken, whole pieces, Other vegetables and combinations, Carrots, French fries and other fried white potatoes, Biscuits, muffins, quick breads, Mustard and other condiments, Diet soft drinks, Chicken patties, nuggets and tenders, Cheese, Turnovers and other grain-based items, Peaches and nectarines, Tap water, Yeast breads, Butter and animal fats, Liver and organ meats, Pasta mixed dishes, excludes macaroni and cheese, Doughnuts, sweet rolls, pastries, Bottled water",64105600.120116,0.08700097959711461,pir_5plus
lunch,pizza lunch,3385000.989892,59,59,"pizza, water, pizza, pizza, sweet_drink, pizza, water","Pizza, Tap water, Pizza, Pizza, Tap water, Pizza, Grapes, Nutritional beverages",64105600.120116,0.05280351456892148,pir_5plus
lunch,soup lunch,2846063.471655,60,60,"soup, soup, water, salty_snack, soup, condiment_fat, soup","Soups, broth-based, Ramen and Asian broth-based soups, Tap water, Soups, broth-based, Diet soft drinks, Soups, broth-based",64105600.120116,0.04439648745698147,pir_5plus
lunch,tortilla lunch,2515593.121891,53,53,"condiment_fat, tortilla, tortilla, tortilla, condiment_fat, water, tortilla, vegetables, condiment_fat","Burritos and tacos, Soft drinks, Other Mexican mixed dishes, Cream cheese, sour cream, whipped cream, Eggs and omelets, Dips, gravies, other sauces, Milk, reduced fat, Other Mexican mixed dishes, Not included in a food category, Burritos and tacos, Mustard and other condiments, Onions, Diet soft drinks",64105600.120116,0.03924139415554149,pir_5plus
snack,other snack,43063700.780523,850,629,"fruit, beans_nuts, water, sweet_drink","Nuts and seeds, Apples, Bananas, Citrus fruits",117006911.107347,0.36804407853322935,pir_5plus
