basename,rows_in_parquet,total_rows,total_issues,issue_rate,severity_band,top_failure_mode,top_failure_count,fails_qaqc_gate,blank_name,unknown_name,short_name,unit_only_name,size_code_name,garbage_exact,garbage_substring,page_dump,price_in_name,location_as_name,zero_negative_price,non_numeric_price,bad_timestamp,non_wayback_url,non_store_specific,duplicates,missing_columns,read_error
shoprite_rsid_426_prices.csv,138,138,69,0.5,trace,duplicates,69,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0
shoprite_rsid_207_prices.csv,124,124,62,0.5,trace,duplicates,62,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0
shoprite_rsid_106_prices.csv,116,126,86,0.6825,trace,duplicates,76,True,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,76,0,0
adams_2023_prices.csv,115,119,10,0.084,trace,price_in_name,6,True,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0
shoprite_rsid_193_prices.csv,112,112,56,0.5,trace,duplicates,56,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0
leppinks_prices.csv,99,192,285,1.4844,minor,non_store_specific,192,True,93,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0
freshop_colemans_prices.csv,97,97,16,0.1649,trace,duplicates,16,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
stauffers_prices.csv,87,87,87,1.0,trace,non_store_specific,87,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0
lunardis_market_prices.csv,83,83,97,1.1687,trace,non_store_specific,83,True,0,0,1,0,0,1,0,0,0,0,0,0,0,0,83,12,0,0
la_bonita_supermarkets_prices.csv,83,87,87,1.0,trace,non_store_specific,87,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0
los_altos_ranch_market_prices.csv,77,77,77,1.0,trace,non_store_specific,77,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0
lunardi_foods_prices.csv,75,85,85,1.0,trace,non_store_specific,85,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0
foodtown_prices.csv,68,69,71,1.029,trace,non_store_specific,69,True,1,0,0,0,0,0,0,0,0,0,1,0,0,0,69,0,0,0
freshop_reasors_prices.csv,66,66,3,0.0455,trace,duplicates,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
rorys-mashpee_prices.csv,65,65,1,0.0154,trace,non_numeric_price,1,True,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
shoprite_rsid_229_prices.csv,64,64,33,0.5156,trace,duplicates,33,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
shoprite_rsid_231_prices.csv,60,60,30,0.5,trace,duplicates,30,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
freshop_martins_prices.csv,58,58,6,0.1034,trace,duplicates,6,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
