timestamp,chain,location,product_name,price,unit,sale,category,year,location_type,wayback_url
2025-10-20 13:08:42,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Ground Beef,3.49,lb,False,Meat & Poultry,2025,unknown,https://web.archive.org/web/20251020130842id_/https://gfsstore.com/es-us/departments/Meat+%26+Seafood/
2025-10-20 13:08:42,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Beef Franks,48.99,case,False,Meat & Poultry,2025,unknown,https://web.archive.org/web/20251020130842id_/https://gfsstore.com/es-us/departments/Meat+%26+Seafood/
2025-10-21 06:31:47,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Peanut Butter Cookies,17.99,box,False,Snacks,2025,unknown,https://web.archive.org/web/20251021063147id_/https://gfsstore.com/es-us/departments/Frozen+Foods/
2025-10-21 19:59:16,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Sweet Barbecue Ripple Potato Chips,5.99,bag,False,Snacks,2025,unknown,https://web.archive.org/web/20251021195916id_/https://gfsstore.com/es-us/departments/Pantry/
2025-10-21 19:59:16,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Original Ripple Potato Chips,5.99,bag,False,Snacks,2025,unknown,https://web.archive.org/web/20251021195916id_/https://gfsstore.com/es-us/departments/Pantry/
2025-10-21 19:59:16,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Tomato Ketchup,5.49,bottle,False,Produce,2025,unknown,https://web.archive.org/web/20251021195916id_/https://gfsstore.com/es-us/departments/Pantry/
2025-10-21 19:59:16,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Original Potato Chips,5.99,bag,False,Snacks,2025,unknown,https://web.archive.org/web/20251021195916id_/https://gfsstore.com/es-us/departments/Pantry/
2025-10-21 19:59:16,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Tomato Ketchup,44.99,case,False,Produce,2025,unknown,https://web.archive.org/web/20251021195916id_/https://gfsstore.com/es-us/departments/Pantry/
2025-10-22 03:25:12,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,American Cheese Slices,14.49,package,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251022032512id_/https://gfsstore.com/es-us/
2025-10-22 03:25:12,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Cream Cheese Loaf,7.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251022032512id_/https://gfsstore.com/es-us/
2025-10-22 03:25:12,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Salted Butter,3.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251022032512id_/https://gfsstore.com/es-us/
2025-10-22 03:25:12,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Ground Beef,3.59,lb,False,Meat & Poultry,2025,unknown,https://web.archive.org/web/20251022032512id_/https://gfsstore.com/es-us/
2025-10-24 12:11:47,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Salted Butter,3.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251024121147id_/https://www.gfsstore.com/en-us/
2025-10-24 12:11:47,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Cream Cheese Loaf,7.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251024121147id_/https://www.gfsstore.com/en-us/
2025-10-24 12:11:47,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,American Cheese Slices,14.49,package,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251024121147id_/https://www.gfsstore.com/en-us/
2025-10-24 12:11:47,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Ground Beef,3.59,lb,False,Meat & Poultry,2025,unknown,https://web.archive.org/web/20251024121147id_/https://www.gfsstore.com/en-us/
2025-10-24 13:28:33,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Homestyle Ground Beef Patties — 15 EA,29.99,box,False,Meat & Poultry,2025,unknown,https://web.archive.org/web/20251024132833id_/https://gfsstore.com/es-us/ads/
2025-10-24 13:28:33,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Rippled Sour Cream & Cheddar Potato Chips,5.99,bag,False,Snacks,2025,unknown,https://web.archive.org/web/20251024132833id_/https://gfsstore.com/es-us/ads/
2025-10-24 13:28:33,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Sweet Barbecue Ripple Potato Chips,5.99,bag,False,Snacks,2025,unknown,https://web.archive.org/web/20251024132833id_/https://gfsstore.com/es-us/ads/
2025-10-24 13:28:33,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Original Potato Chips,5.99,bag,False,Snacks,2025,unknown,https://web.archive.org/web/20251024132833id_/https://gfsstore.com/es-us/ads/
2025-10-24 13:28:33,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Original Ripple Potato Chips,5.99,bag,False,Snacks,2025,unknown,https://web.archive.org/web/20251024132833id_/https://gfsstore.com/es-us/ads/
2025-10-24 13:28:33,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Salt & Vinegar Potato Chips,5.99,bag,False,Snacks,2025,unknown,https://web.archive.org/web/20251024132833id_/https://gfsstore.com/es-us/ads/
2025-10-24 23:07:26,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Italian Style Pasta Salad,8.99,,False,Produce,2025,unknown,https://web.archive.org/web/20251024230726id_/https://gfsstore.com/es-us/departments/Deli/
2025-10-26 11:13:44,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,American Cheese Slices,14.49,package,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251026111344id_/https://www.gfsstore.com/en-us/
2025-10-26 11:13:44,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Cream Cheese Loaf,7.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251026111344id_/https://www.gfsstore.com/en-us/
2025-10-26 11:13:44,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Salted Butter,2.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251026111344id_/https://www.gfsstore.com/en-us/
2025-10-26 11:13:44,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Ground Beef,3.79,lb,False,Meat & Poultry,2025,unknown,https://web.archive.org/web/20251026111344id_/https://www.gfsstore.com/en-us/
2025-10-26 11:13:44,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,All-Purpose Flour,9.99,bag,False,Pantry & Canned,2025,unknown,https://web.archive.org/web/20251026111344id_/https://www.gfsstore.com/en-us/
2025-10-26 11:13:44,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,All-Purpose Flour,19.98,case,False,Pantry & Canned,2025,unknown,https://web.archive.org/web/20251026111344id_/https://www.gfsstore.com/en-us/
2025-10-28 14:41:43,Hays,All stores (no store selected),Certified Angus Beef 80% Lean Ground Chuck Value Pack,2.48,,False,Meat & Poultry,2025,chain-wide,https://web.archive.org/web/20251028144143id_/https://www.hayssupermarkets.com/wp-content/uploads/2018/03/home-ad.jpg
2025-10-28 16:35:05,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Ground Beef,3.59,lb,False,Meat & Poultry,2025,unknown,https://web.archive.org/web/20251028163505id_/https://gfsstore.com/en-us/?dsr_id=MP223
2025-10-28 16:35:05,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Salted Butter,2.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251028163505id_/https://gfsstore.com/en-us/?dsr_id=MP223
2025-10-28 16:35:05,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Cream Cheese Loaf,7.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251028163505id_/https://gfsstore.com/en-us/?dsr_id=MP223
2025-10-28 16:35:05,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,American Cheese Slices,14.49,package,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251028163505id_/https://gfsstore.com/en-us/?dsr_id=MP223
2025-11-01 01:59:28,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Salted Butter,3.49,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251101015928id_/https://gfsstore.com/en-us/?dsr_id=MP219
2025-11-01 01:59:28,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Cream Cheese Loaf,7.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251101015928id_/https://gfsstore.com/en-us/?dsr_id=MP219
2025-11-01 01:59:28,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,American Cheese Slices,14.49,package,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251101015928id_/https://gfsstore.com/en-us/?dsr_id=MP219
2025-11-01 01:59:28,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Ground Beef,3.59,lb,False,Meat & Poultry,2025,unknown,https://web.archive.org/web/20251101015928id_/https://gfsstore.com/en-us/?dsr_id=MP219
2025-11-02 13:04:52,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Ground Beef,3.59,lb,False,Meat & Poultry,2025,unknown,https://web.archive.org/web/20251102130452id_/https://gfsstore.com/en-us/?dsr_id=MP214
2025-11-02 13:04:52,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Cream Cheese Loaf,7.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251102130452id_/https://gfsstore.com/en-us/?dsr_id=MP214
2025-11-02 13:04:52,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,American Cheese Slices,14.49,package,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251102130452id_/https://gfsstore.com/en-us/?dsr_id=MP214
2025-11-02 13:04:52,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Salted Butter,2.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251102130452id_/https://gfsstore.com/en-us/?dsr_id=MP214
2025-11-03 01:49:46,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Cocktail Franks,18.99,package,False,Meat & Poultry,2025,unknown,https://web.archive.org/web/20251103014946id_/https://www.gfsstore.com/en-us/ads/
2025-11-03 01:49:46,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Salted Butter,2.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251103014946id_/https://www.gfsstore.com/en-us/ads/
2025-11-03 04:39:42,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Sweet Barbecue Ripple Potato Chips,5.99,bag,False,Snacks,2025,unknown,https://web.archive.org/web/20251103043942id_/https://gfsstore.com/en-us/departments/Pantry/
2025-11-03 04:39:42,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Original Ripple Potato Chips,5.99,bag,False,Snacks,2025,unknown,https://web.archive.org/web/20251103043942id_/https://gfsstore.com/en-us/departments/Pantry/
2025-11-03 04:39:42,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Tomato Ketchup,4.49,bottle,False,Produce,2025,unknown,https://web.archive.org/web/20251103043942id_/https://gfsstore.com/en-us/departments/Pantry/
2025-11-03 04:39:42,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Tomato Ketchup,34.59,case,False,Produce,2025,unknown,https://web.archive.org/web/20251103043942id_/https://gfsstore.com/en-us/departments/Pantry/
2025-11-04 07:51:20,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Salted Butter,2.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251104075120id_/https://gfsstore.com/en-us/?dsr_id=MP217
2025-11-04 07:51:20,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Cream Cheese Loaf,7.99,lb,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251104075120id_/https://gfsstore.com/en-us/?dsr_id=MP217
2025-11-04 07:51:20,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,American Cheese Slices,14.49,package,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251104075120id_/https://gfsstore.com/en-us/?dsr_id=MP217
2025-11-04 07:51:20,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Ground Beef,3.59,lb,False,Meat & Poultry,2025,unknown,https://web.archive.org/web/20251104075120id_/https://gfsstore.com/en-us/?dsr_id=MP217
2025-11-04 09:11:36,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,American Cheese Slices,12.99,package,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251104091136id_/https://gfsstore.com/en-us/departments/Dairy/
2025-11-04 09:11:36,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,American Cheese Slices,47.99,case,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251104091136id_/https://gfsstore.com/en-us/departments/Dairy/
2025-11-04 09:11:36,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Cream Cheese Loaf,7.49,,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251104091136id_/https://gfsstore.com/en-us/departments/Dairy/
2025-11-04 09:11:36,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Cream Cheese Loaf,72.99,case,False,Dairy & Eggs,2025,unknown,https://web.archive.org/web/20251104091136id_/https://gfsstore.com/en-us/departments/Dairy/
2025-11-05 01:21:40,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Paper Towels,37.99,case,False,Household,2025,unknown,https://web.archive.org/web/20251105012140id_/https://gfsstore.com/en-us/departments/Disposables/Kitchen+%26+Bath+Products/
